,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
253,Million Dollar Baby,2004,PG-13,132 min,"Drama, Sport",8.1,"686,797","$100,492,203"
254,Hotel Rwanda,2004,PG-13,121 min,"Biography, Drama, History",8.1,"356,065","$23,530,892"
255,Ratatouille,2007,G,111 min,"Animation, Adventure, Comedy",8.1,"734,201","$206,445,654"
256,Before Sunset,2004,R,80 min,"Drama, Romance",8.1,"264,562","$5,820,649"
257,Black,2005,Not Rated,122 min,Drama,8.1,"35,148","$754,819"
258,Munna Bhai M.B.B.S.,2003,Not Rated,156 min,"Comedy, Drama",8.1,"82,528","$48,772"
259,Memories of Murder,2003,Not Rated,132 min,"Crime, Drama, Mystery",8.1,"184,626","$15,357"
260,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143 min,"Action, Adventure, Fantasy",8.1,"1,121,669","$305,413,918"
261,Dil Chahta Hai,2001,Not Rated,183 min,"Comedy, Drama, Romance",8.1,"72,653",N/A
262,Catch Me If You Can,2002,PG-13,141 min,"Biography, Crime, Drama",8.1,"973,233","$164,615,351"
263,Her Sey Çok Güzel Olacak,1998,N/A,107 min,"Comedy, Drama, Thriller",8.1,"25,743",N/A
264,Amores perros,2000,R,154 min,"Drama, Thriller",8.1,"241,047","$5,408,467"
265,Hera Pheri,2000,Not Rated,156 min,"Action, Comedy, Crime",8.1,"67,143",N/A
266,Sarfarosh,1999,Not Rated,174 min,"Action, Drama, Thriller",8.1,"25,914","$288,733"
267,"Monsters, Inc.",2001,G,92 min,"Animation, Adventure, Comedy",8.1,"905,840","$290,642,256"
268,Lagaan: Once Upon a Time in India,2001,PG,224 min,"Drama, Musical, Sport",8.1,"114,746","$909,043"
269,The Celebration,1998,R,105 min,Drama,8.1,"87,603","$1,656,223"
270,The Iron Giant,1999,PG,86 min,"Animation, Action, Adventure",8.1,"198,212","$23,315,035"
271,The Big Lebowski,1998,R,117 min,"Comedy, Crime",8.1,"806,616","$18,254,458"
272,In the Mood for Love,2000,PG,98 min,"Drama, Romance",8.1,"149,883","$2,738,980"
273,Trainspotting,1996,R,93 min,Drama,8.1,"686,989","$16,491,080"
274,Fargo,1996,R,98 min,"Crime, Thriller",8.1,"677,602","$24,611,975"
275,The Bandit,1996,Not Rated,128 min,"Crime, Drama, Thriller",8.1,"70,279",N/A
276,Underground,1995,Not Rated,167 min,"Comedy, Drama, Fantasy",8.1,"58,805","$171,082"
277,La haine,1995,Not Rated,98 min,"Crime, Drama",8.1,"174,475","$280,859"
278,Before Sunrise,1995,R,101 min,"Drama, Romance",8.1,"308,619","$5,535,405"
